median_list_price,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,period_begin,period_end,"region_Nassau County, NY","region_Suffolk County, NY",property_type_All Residential,property_type_Condo/Co-op,property_type_Multi-Family (2-4 Unit),property_type_Single Family Residential,property_type_Townhouse,label
374999.0,1034.0,718.0,1662.0,5918.0,5.7,78.0,0.9688102733287914,0.2030947775628626,0.1333220682663061,0.1866295264623955,736361,736388,0.0,1.0,1.0,0.0,0.0,0.0,0.0,330000.0
339000.0,21.0,12.0,23.0,159.0,7.599999999999999,58.0,0.924155547220541,0.0476190476190476,0.1446540880503144,0.1666666666666666,735081,735111,0.0,1.0,0.0,0.0,1.0,0.0,0.0,298000.0
359000.0,1.0,4.0,10.0,44.0,44.0,52.0,0.9402350587646912,0.0,0.1363636363636363,0.5,735020,735049,0.0,1.0,0.0,0.0,0.0,0.0,1.0,376000.0
539000.0,1273.0,929.0,969.0,3154.0,2.5,34.0,0.9997796253615217,0.4744697564807541,0.2187698161065314,0.1808396124865446,738460,738489,0.0,1.0,1.0,0.0,0.0,0.0,0.0,545000.0
349900.0,1018.0,757.0,1777.0,7855.0,7.7,79.0,0.9585724156896092,0.1394891944990176,0.2320814767663908,0.1215323645970937,735385,735414,0.0,1.0,0.0,0.0,0.0,1.0,0.0,339840.0
345000.0,2.0,1.0,4.0,41.0,20.5,86.0,0.9305526897004988,0.0,0.0975609756097561,1.0,735265,735292,0.0,1.0,0.0,0.0,0.0,0.0,1.0,348750.0
599000.0,888.0,1031.0,1322.0,2033.0,2.3,27.0,1.0086529078559163,0.5270270270270269,0.1687161829808165,0.4238603297769156,738641,738671,0.0,1.0,0.0,0.0,0.0,1.0,0.0,570000.0
550000.0,1034.0,861.0,1114.0,3012.0,2.9,33.0,1.010808770794425,0.5241779497098646,0.24601593625498,0.2322880371660859,738429,738459,0.0,1.0,0.0,0.0,0.0,1.0,0.0,565000.0
569945.0,17.0,7.0,14.0,23.0,1.4,23.0,1.0232791398234542,0.6470588235294118,0.217391304347826,0.5714285714285714,738276,738306,0.0,1.0,0.0,0.0,0.0,0.0,1.0,545000.0
475000.0,195.0,174.0,168.0,372.0,1.9,31.0,0.995559814694837,0.3384615384615384,0.1532258064516129,0.189655172413793,737730,737759,0.0,1.0,0.0,1.0,0.0,0.0,0.0,318000.0
299999.0,2.0,2.0,4.0,44.0,22.0,200.0,0.9185279499294348,0.0,0.1136363636363636,0.5,734808,734837,0.0,1.0,0.0,0.0,0.0,0.0,1.0,273750.0
599000.0,31.0,35.0,34.0,22.0,0.6999999999999998,27.0,1.0028216823491982,0.1935483870967741,0.0454545454545454,0.6571428571428571,738641,738671,0.0,1.0,0.0,0.0,0.0,0.0,1.0,500000.0
349000.0,1823.0,1093.0,1707.0,7538.0,4.1,64.0,0.9724717034570312,0.1711464618760285,0.2101353144070045,0.1052150045745654,736177,736207,0.0,1.0,1.0,0.0,0.0,0.0,0.0,354450.0
409990.0,17.0,11.0,34.0,94.0,5.5,61.0,0.9641410166045492,0.1764705882352941,0.0744680851063829,0.3636363636363636,737060,737090,0.0,1.0,0.0,0.0,1.0,0.0,0.0,420000.0
425000.0,1538.0,1214.0,1799.0,5913.0,3.8,45.0,0.9845003373717396,0.2990897269180754,0.241501775748351,0.1490939044481054,737241,737271,0.0,1.0,0.0,0.0,0.0,1.0,0.0,425500.0
525000.0,166.0,102.0,158.0,275.0,1.7,33.0,0.9985539240233536,0.4036144578313253,0.0836363636363636,0.2450980392156862,738156,738186,0.0,1.0,0.0,1.0,0.0,0.0,0.0,350500.0
365000.0,1269.0,678.0,834.0,4436.0,3.5,58.0,0.978370759156145,0.2537431048069345,0.1007664562669071,0.1297935103244837,736664,736694,0.0,1.0,0.0,0.0,0.0,1.0,0.0,375000.0
550000.0,12.0,12.0,9.0,17.0,1.4,13.0,1.026428114614933,0.5,0.1176470588235294,0.5,738246,738275,0.0,1.0,0.0,0.0,0.0,0.0,1.0,509500.0
525000.0,1192.0,702.0,997.0,1933.0,1.6,31.0,1.0120091139014038,0.5620805369127517,0.0879461976202793,0.3034188034188034,738156,738186,0.0,1.0,0.0,0.0,0.0,1.0,0.0,535000.0
389000.0,15.0,24.0,36.0,117.0,7.8,70.0,0.9437709817874778,0.1333333333333333,0.1111111111111111,0.2083333333333333,736481,736510,0.0,1.0,0.0,0.0,1.0,0.0,0.0,400000.0
369999.5,178.0,163.0,219.0,732.0,4.1,49.0,0.9769223746145655,0.1516853932584269,0.1967213114754098,0.0920245398773006,736511,736541,0.0,1.0,0.0,1.0,0.0,0.0,0.0,293500.0
489000.0,249.0,177.0,200.0,419.0,1.7,31.0,0.9885361473673248,0.2931726907630521,0.1503579952267303,0.1412429378531073,737699,737729,0.0,1.0,0.0,1.0,0.0,0.0,0.0,355000.0
419000.0,2.0,3.0,4.0,14.0,7.0,44.0,0.8827286012526095,0.0,0.2857142857142857,0.6666666666666666,737091,737118,0.0,1.0,0.0,0.0,0.0,0.0,1.0,267375.0
519000.0,1759.0,1756.0,2093.0,3637.0,2.1,22.0,1.0274795230225846,0.6395679363274587,0.1652460819356612,0.2801822323462414,737972,738002,0.0,1.0,1.0,0.0,0.0,0.0,0.0,525000.0
439000.0,1387.0,784.0,1649.0,4883.0,3.5,55.0,0.9778214489582384,0.2501802451333813,0.1624001638337087,0.1785714285714285,737425,737455,0.0,1.0,1.0,0.0,0.0,0.0,0.0,400000.0
394900.0,1187.0,1269.0,2085.0,5880.0,5.0,60.0,0.978132302975277,0.2603201347935972,0.2030612244897959,0.1623325453112687,736450,736480,0.0,1.0,0.0,0.0,0.0,1.0,0.0,345000.0
449000.0,2.0,2.0,8.0,15.0,7.5,182.0,0.993760224351484,0.5,0.2666666666666666,0.5,737456,737484,0.0,1.0,0.0,0.0,0.0,0.0,1.0,327500.0
419990.0,24.0,19.0,31.0,92.0,3.8,35.0,0.9777998181690551,0.4166666666666666,0.1413043478260869,0.1578947368421052,736846,736875,0.0,1.0,0.0,0.0,1.0,0.0,0.0,387000.0
599999.0,14.0,12.0,12.0,43.0,3.1,21.0,1.0076420983641892,0.6428571428571429,0.1627906976744186,0.3333333333333333,738764,738793,0.0,1.0,0.0,0.0,1.0,0.0,0.0,675000.0
429900.0,1141.0,1234.0,2310.0,6027.0,5.3,63.0,0.9771630309317796,0.2524101665205959,0.166583706653393,0.2106969205834683,737119,737149,0.0,1.0,1.0,0.0,0.0,0.0,0.0,372860.0
340800.0,13.0,12.0,33.0,189.0,14.5,154.0,0.8827627151776672,0.1538461538461538,0.1481481481481481,0.1666666666666666,734624,734654,0.0,1.0,0.0,0.0,1.0,0.0,0.0,279000.0
374250.0,21.0,15.0,35.0,130.0,6.2,74.0,0.923446567094676,0.0,0.1307692307692307,0.0666666666666666,736116,736145,0.0,1.0,0.0,0.0,1.0,0.0,0.0,349800.0
399000.0,3.0,3.0,3.0,11.0,3.7,24.0,1.0485914644227476,1.0,0.6363636363636364,0.0,736968,736998,0.0,1.0,0.0,0.0,0.0,0.0,1.0,240000.0
419900.0,12.0,12.0,25.0,78.0,6.5,78.0,0.916155783495979,0.0833333333333333,0.1666666666666666,0.1666666666666666,736785,736814,0.0,1.0,0.0,0.0,1.0,0.0,0.0,428750.0
389000.0,2.0,1.0,2.0,11.0,5.5,74.0,0.8710691177980898,0.0,0.1818181818181818,0.0,737029,737059,0.0,1.0,0.0,0.0,0.0,0.0,1.0,607500.0
349000.0,619.0,364.0,1058.0,6447.0,10.4,113.0,0.9578153604231024,0.1292407108239095,0.1017527532185512,0.1785714285714285,735630,735657,0.0,1.0,0.0,0.0,0.0,1.0,0.0,330000.0
339000.0,9.0,3.0,22.0,100.0,11.1,8.0,0.9585697640745116,0.1111111111111111,0.17,0.0,735507,735537,0.0,1.0,0.0,0.0,0.0,0.0,1.0,335000.0
599999.0,180.0,184.0,202.0,266.0,1.5,28.0,0.9979444850885828,0.3722222222222222,0.1954887218045112,0.3695652173913043,738672,738701,0.0,1.0,0.0,1.0,0.0,0.0,0.0,429500.0
346499.5,931.0,516.0,1425.0,7478.0,8.0,85.0,0.9539821809199356,0.1181525241675617,0.1865472051350628,0.1182170542635658,735112,735141,0.0,1.0,0.0,0.0,0.0,1.0,0.0,327000.0
529000.0,1678.0,1708.0,2298.0,3542.0,2.1,25.0,1.0157379479806137,0.5625744934445768,0.1617730095990965,0.3073770491803278,737942,737971,0.0,1.0,1.0,0.0,0.0,0.0,0.0,505000.0
499000.0,29.0,24.0,47.0,192.0,6.6,70.0,0.9584616034477098,0.1724137931034482,0.1458333333333333,0.2916666666666666,736146,736176,1.0,0.0,0.0,0.0,1.0,0.0,0.0,460000.0
339999.0,539.0,356.0,1183.0,6173.0,11.5,140.0,0.942985560604854,0.0964749536178107,0.1085371780333711,0.1769662921348314,734900,734927,0.0,1.0,0.0,0.0,0.0,1.0,0.0,306000.0
569945.0,145.0,174.0,250.0,334.0,2.3,23.0,1.01783894555191,0.5517241379310344,0.1317365269461078,0.3563218390804597,738276,738306,0.0,1.0,0.0,1.0,0.0,0.0,0.0,379999.0
339000.0,1257.0,650.0,1604.0,8925.0,7.1,89.0,0.9582886506257376,0.1233094669848846,0.2060504201680672,0.1184615384615384,735507,735537,0.0,1.0,1.0,0.0,0.0,0.0,0.0,315000.0
359000.0,154.0,119.0,255.0,1201.0,7.8,116.0,0.9592411368222326,0.0974025974025974,0.1773522064945878,0.1428571428571428,735020,735049,0.0,1.0,0.0,1.0,0.0,0.0,0.0,290250.0
599000.0,1088.0,1248.0,1558.0,2370.0,2.2,27.0,1.0069770725196738,0.4963235294117647,0.1658227848101265,0.4110576923076922,738641,738671,0.0,1.0,1.0,0.0,0.0,0.0,0.0,550000.0
469000.0,864.0,626.0,1172.0,3971.0,4.6,49.0,0.9827432538721704,0.2905092592592592,0.1067741123142785,0.2092651757188498,737546,737576,0.0,1.0,0.0,0.0,0.0,1.0,0.0,446500.0
449000.0,900.0,948.0,1446.0,4508.0,5.0,61.0,0.9805614914485512,0.2711111111111111,0.1346495119787045,0.2362869198312236,737485,737515,0.0,1.0,0.0,0.0,0.0,1.0,0.0,420000.0
389000.0,20.0,10.0,22.0,82.0,4.1,58.0,0.9570421118282572,0.2,0.048780487804878,0.2999999999999999,737029,737059,0.0,1.0,0.0,0.0,1.0,0.0,0.0,386750.0
599999.0,1389.0,845.0,714.0,2674.0,1.9,37.0,0.9846827543273424,0.3254139668826494,0.1346297681376215,0.1349112426035503,737760,737790,1.0,0.0,0.0,0.0,0.0,1.0,0.0,616000.0
489000.0,1713.0,1647.0,1837.0,3635.0,2.1,32.0,0.999212032506827,0.4547577349678925,0.1829436038514442,0.2489374620522161,737699,737729,0.0,1.0,0.0,0.0,0.0,1.0,0.0,480000.0
439000.0,3.0,5.0,10.0,21.0,7.0,25.0,0.9849348784127248,0.3333333333333333,0.3333333333333333,0.4,737180,737210,0.0,1.0,0.0,0.0,0.0,0.0,1.0,475000.0
524999.5,3.0,3.0,3.0,16.0,5.3,29.0,0.96951222722367,0.3333333333333333,0.0625,0.0,736634,736663,1.0,0.0,0.0,0.0,0.0,0.0,1.0,632500.0
377777.0,24.0,15.0,21.0,73.0,3.0,67.0,0.9803650834451048,0.2916666666666666,0.1780821917808219,0.1333333333333333,736695,736725,0.0,1.0,0.0,0.0,1.0,0.0,0.0,437500.0
429900.0,977.0,1059.0,2005.0,5370.0,5.5,63.0,0.9768847158499372,0.2569089048106448,0.1685288640595903,0.2152974504249291,737119,737149,0.0,1.0,0.0,0.0,0.0,1.0,0.0,380000.0
429000.0,182.0,152.0,219.0,580.0,3.2,45.0,0.9792896541030816,0.1593406593406593,0.189655172413793,0.1776315789473684,737303,737332,0.0,1.0,0.0,1.0,0.0,0.0,0.0,315000.0
399000.0,870.0,727.0,1471.0,4614.0,5.3,61.0,0.974027920262237,0.2563218390804597,0.1462938881664499,0.18707015130674,736726,736753,0.0,1.0,0.0,0.0,0.0,1.0,0.0,365000.0
375000.0,16.0,15.0,30.0,124.0,7.8,95.0,0.931440415612371,0.125,0.1290322580645161,0.1333333333333333,736024,736054,0.0,1.0,0.0,0.0,1.0,0.0,0.0,370000.0
429990.0,35.0,25.0,40.0,224.0,6.4,61.0,0.9380631397416764,0.0857142857142857,0.1383928571428571,0.16,735446,735476,1.0,0.0,0.0,0.0,1.0,0.0,0.0,463500.0
529000.0,1425.0,1493.0,1995.0,3076.0,2.2,25.0,1.0178739162034058,0.576140350877193,0.168075422626788,0.3188211654387139,737942,737971,0.0,1.0,0.0,0.0,0.0,1.0,0.0,525000.0
349900.0,657.0,636.0,1949.0,9468.0,14.4,138.0,0.9390058143730364,0.106544901065449,0.1887410223912125,0.1320754716981132,734594,734623,0.0,1.0,1.0,0.0,0.0,0.0,0.0,285000.0
449000.0,119.0,119.0,138.0,450.0,3.8,49.0,0.9763784853733788,0.2016806722689075,0.1222222222222222,0.1428571428571428,737485,737515,0.0,1.0,0.0,1.0,0.0,0.0,0.0,279000.0
569945.0,21.0,12.0,28.0,61.0,2.9,35.0,1.0368828670847297,0.6666666666666666,0.180327868852459,0.4166666666666666,738276,738306,0.0,1.0,0.0,0.0,1.0,0.0,0.0,595000.0
399000.0,23.0,11.0,18.0,96.0,4.2,56.0,0.9854671301642124,0.3043478260869565,0.1354166666666666,0.0,736968,736998,0.0,1.0,0.0,0.0,1.0,0.0,0.0,394000.0
449000.0,619.0,695.0,1744.0,7636.0,12.3,144.0,0.9341291448546788,0.0533117932148626,0.1892352016762703,0.1107913669064748,734594,734623,1.0,0.0,1.0,0.0,0.0,0.0,0.0,390000.0
329990.0,22.0,9.0,32.0,141.0,6.4,126.0,0.931628351840018,0.0454545454545454,0.226950354609929,0.2222222222222222,735872,735902,0.0,1.0,0.0,0.0,1.0,0.0,0.0,376225.0
349000.0,11.0,7.0,38.0,168.0,15.3,59.0,0.9475581551367002,0.0,0.2321428571428571,0.1428571428571428,735415,735445,0.0,1.0,0.0,0.0,1.0,0.0,0.0,387500.0
359000.0,1104.0,790.0,1905.0,8823.0,8.0,97.0,0.9530262089681169,0.1059782608695652,0.1796441119800521,0.1139240506329113,735020,735049,0.0,1.0,1.0,0.0,0.0,0.0,0.0,343000.0
349000.0,21.0,16.0,26.0,134.0,6.4,69.0,0.9398995724287028,0.0476190476190476,0.1194029850746268,0.0,735933,735963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,350000.0
385000.0,16.0,13.0,11.0,79.0,4.9,42.0,0.938372303715938,0.125,0.0886075949367088,0.1538461538461538,736999,737028,0.0,1.0,0.0,0.0,1.0,0.0,0.0,395000.0
385000.0,1448.0,1046.0,1376.0,5911.0,4.1,51.0,0.9812630789890988,0.2589779005524862,0.1818643207579089,0.1434034416826003,736999,737028,0.0,1.0,1.0,0.0,0.0,0.0,0.0,379990.0
369000.0,22.0,15.0,20.0,91.0,4.1,54.0,0.9467152397634404,0.2272727272727272,0.1428571428571428,0.1333333333333333,736634,736663,0.0,1.0,0.0,0.0,1.0,0.0,0.0,310000.0
339000.0,5.0,3.0,10.0,50.0,10.0,124.0,0.9577592614054928,0.0,0.14,0.0,735081,735111,0.0,1.0,0.0,0.0,0.0,0.0,1.0,350000.0
349900.0,1188.0,900.0,2135.0,9286.0,7.8,77.0,0.958669928784516,0.1304713804713804,0.2281929786775791,0.1244444444444444,735385,735414,0.0,1.0,1.0,0.0,0.0,0.0,0.0,335000.0
549000.0,19.0,18.0,26.0,73.0,3.8,27.0,1.0238653279959948,0.7368421052631579,0.1780821917808219,0.1111111111111111,738337,738367,0.0,1.0,0.0,0.0,1.0,0.0,0.0,621888.0
