credit_score,first_payment_date,mortgage_insurance_percentage,number_of_units,original_combined_loan_to_value,original_debt_to_income_ratio,original_upb,original_loan_to_value,original_interest_rate,property_type,number_of_borrowers,seller_name,servicer_name
686,202203,25,1,90,48,306000,90,3.49,CO,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
715,202203,25,1,90,40,414000,90,3.25,SF,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
798,202203,12,1,89,48,370000,89,3.0,SF,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
816,202203,0,1,80,31,576000,80,2.875,SF,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
762,202203,30,1,95,32,646000,95,2.99,SF,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
781,202203,30,1,95,35,413000,95,3.25,SF,2,Other sellers,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
663,202203,0,1,80,22,504000,80,3.75,SF,2,Other sellers,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
737,202203,25,1,90,36,383000,90,2.875,SF,2,Other sellers,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
772,202203,0,1,80,20,608000,80,2.99,SF,2,Other sellers,Other servicers
638,202203,30,1,92,42,540000,92,3.625,SF,4,Other sellers,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
801,202203,0,1,76,36,780000,76,2.875,SF,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
796,202203,25,1,89,46,565000,89,2.75,SF,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
720,202203,0,1,80,28,480000,80,3.0,SF,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
799,202203,0,1,69,47,625000,69,2.875,SF,2,"ROCKET MORTGAGE, LLC",ONSLOW BAY FINANCIAL LLC
703,202203,0,1,80,32,332000,80,3.25,SF,1,"ROCKET MORTGAGE, LLC",ONSLOW BAY FINANCIAL LLC
802,202203,25,1,90,21,531000,90,2.99,SF,2,U.S. BANK N.A.,U.S. BANK N.A.
772,202203,30,1,95,47,475000,95,3.375,SF,2,Other sellers,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
768,202203,30,1,95,49,247000,95,3.5,CO,1,Other sellers,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
779,202203,30,1,95,31,532000,95,2.999,SF,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC"
780,202202,0,1,80,31,458000,80,2.99,SF,1,Other sellers,Other servicers
754,202203,30,1,93,37,509000,93,3.25,SF,1,Other sellers,Other servicers
734,202203,0,1,80,30,508000,80,3.0,SF,2,Other sellers,Other servicers
765,202203,0,1,60,46,180000,60,2.874,SF,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC"
734,202203,30,1,95,49,672000,95,2.99,SF,3,"UNITED WHOLESALE MORTGAGE, LLC",ONSLOW BAY FINANCIAL LLC
742,202203,0,1,80,42,216000,80,3.5,CO,2,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,NATIONSTAR MORTGAGE LLC DBA MR. COOPER
763,202203,12,1,83,16,769000,83,3.25,SF,3,"GUARANTEED RATE, INC.","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
780,202203,0,1,75,49,434000,75,3.125,SF,2,Other sellers,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
757,202202,30,1,95,34,582000,95,2.99,SF,2,Other sellers,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
806,202203,0,1,80,24,520000,80,3.0,SF,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
728,202203,25,1,90,44,483000,90,3.0,SF,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
739,202202,0,1,80,17,200000,80,3.25,SF,2,Other sellers,Other servicers
758,202203,30,1,95,42,470000,95,3.125,SF,2,U.S. BANK N.A.,U.S. BANK N.A.
772,202203,0,1,80,34,464000,80,2.925,SF,2,"UNITED WHOLESALE MORTGAGE, LLC",ONSLOW BAY FINANCIAL LLC
775,202203,0,1,72,26,651000,72,2.875,SF,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
790,202203,30,1,94,38,525000,94,2.75,SF,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
632,202203,0,1,90,22,351000,90,3.625,SF,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
754,202203,25,1,97,40,315000,97,3.0,SF,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
760,202203,12,1,81,32,332000,81,2.99,PU,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
776,202203,30,1,94,26,599000,94,3.214,SF,3,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC"
744,202203,30,1,95,49,439000,95,3.199,SF,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC"
787,202203,0,1,53,46,840000,53,3.299,SF,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC"
780,202203,0,1,75,45,649000,75,3.25,SF,3,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC"
775,202203,30,1,94,32,822000,94,3.25,SF,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC"
738,202203,25,1,90,43,554000,90,2.99,SF,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
792,202203,0,1,59,44,250000,59,3.1,SF,1,"CALIBER HOME LOANS, INC.","CALIBER HOME LOANS, INC."
794,202203,0,1,75,25,600000,75,3.125,SF,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
759,202203,0,1,80,49,504000,80,3.25,SF,1,Other sellers,Other servicers
699,202203,0,1,80,50,356000,80,2.999,SF,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC"
784,202203,25,1,88,38,822000,88,3.125,SF,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
735,202203,0,1,80,42,440000,80,3.125,SF,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
791,202203,0,1,80,48,378000,80,3.125,SF,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
793,202203,0,1,80,47,440000,80,2.99,SF,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
735,202203,0,1,80,40,519000,80,2.99,SF,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
787,202203,30,1,95,37,518000,95,3.368,SF,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC"
767,202203,30,1,95,50,485000,95,3.375,SF,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC"
770,202203,0,1,80,44,452000,80,3.375,SF,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC"
727,202203,25,1,90,47,387000,90,3.5,SF,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC"
785,202203,30,1,95,26,579000,95,3.5,SF,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC"
686,202203,0,1,80,48,368000,80,3.5,SF,2,Other sellers,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
789,202203,0,1,80,32,548000,80,3.125,SF,2,Other sellers,Other servicers
736,202203,25,1,92,42,346000,92,3.25,SF,2,Other sellers,"FIFTH THIRD BANK, NATIONAL ASSOCIATION"
723,202203,12,1,85,33,441000,85,3.125,SF,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
772,202203,30,1,95,23,432000,95,2.75,SF,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC"
791,202203,0,1,80,37,448000,80,2.72,SF,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC"
800,202203,0,1,80,26,440000,80,2.75,SF,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC"
710,202203,25,1,90,49,554000,90,3.25,SF,3,"ROCKET MORTGAGE, LLC",ONSLOW BAY FINANCIAL LLC
762,202203,0,1,80,50,488000,80,3.125,SF,2,Other sellers,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
738,202203,25,1,90,45,666000,90,3.25,SF,3,"FLAGSTAR BANK, FSB",Other servicers
767,202203,0,1,70,44,360000,70,3.125,SF,1,Other sellers,Other servicers
682,202203,0,1,80,34,412000,80,3.49,SF,2,HOME POINT FINANCIAL CORPORATION,Other servicers
792,202203,0,1,80,43,608000,80,3.125,SF,1,HOME POINT FINANCIAL CORPORATION,HOME POINT FINANCIAL CORPORATION
737,202203,12,1,85,15,557000,85,3.25,SF,1,HOME POINT FINANCIAL CORPORATION,Other servicers
748,202203,30,1,95,41,290000,95,3.375,SF,2,PENNYMAC CORP.,PENNYMAC CORP.
727,202203,25,1,90,46,450000,90,3.25,SF,2,Other sellers,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
748,202203,25,1,90,40,509000,90,2.99,SF,2,HOME POINT FINANCIAL CORPORATION,HOME POINT FINANCIAL CORPORATION
736,202203,25,1,89,48,647000,89,3.0,SF,2,HOME POINT FINANCIAL CORPORATION,Other servicers
757,202203,30,1,95,38,513000,95,3.25,SF,2,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,"LAKEVIEW LOAN SERVICING, LLC"
738,202203,12,1,84,38,548000,84,3.25,SF,2,HOME POINT FINANCIAL CORPORATION,Other servicers
764,202203,30,1,95,39,651000,95,3.375,SF,2,U.S. BANK N.A.,U.S. BANK N.A.
728,202203,30,1,95,46,513000,95,3.0,SF,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
781,202203,16,1,95,49,380000,95,2.875,SF,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
750,202203,25,1,95,48,408000,95,3.125,SF,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
784,202203,0,1,64,23,310000,64,2.99,CO,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
713,202203,0,2,80,45,652000,80,3.0,SF,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
805,202203,30,1,95,29,537000,95,3.0,SF,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
781,202203,30,1,94,27,605000,94,3.25,SF,2,"ROCKET MORTGAGE, LLC","ROCKET MORTGAGE, LLC"
767,202203,25,1,90,41,276000,90,2.875,CO,1,Other sellers,Other servicers
735,202203,0,1,80,37,262000,80,3.5,CO,2,Other sellers,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
733,202203,0,1,80,20,412000,80,3.375,SF,2,NEWREZ LLC,NEW RESIDENTIAL MORTGAGE LLC
779,202203,0,1,80,39,428000,80,3.375,SF,1,NEWREZ LLC,NEW RESIDENTIAL MORTGAGE LLC
729,202203,30,1,95,28,499000,95,3.25,SF,4,NEWREZ LLC,NEW RESIDENTIAL MORTGAGE LLC
781,202203,0,1,26,45,120000,26,3.25,SF,2,Other sellers,Other servicers
764,202203,25,1,90,41,330000,90,3.125,SF,1,Other sellers,Other servicers
800,202203,30,1,92,49,600000,92,3.25,SF,1,Other sellers,Other servicers
743,202203,0,1,69,50,405000,69,3.0,SF,1,Other sellers,Other servicers
776,202203,25,1,90,21,608000,90,3.0,SF,2,Other sellers,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
716,202203,0,1,80,24,260000,80,3.375,CP,1,"LOANDEPOT.COM, LLC","LOANDEPOT.COM, LLC"
773,202203,0,1,95,39,283000,95,3.125,SF,2,Other sellers,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
727,202203,0,1,80,36,172000,80,2.75,CP,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
756,202203,25,1,90,50,565000,90,2.99,SF,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
805,202203,25,1,90,42,383000,90,3.75,SF,1,"CMG MORTGAGE, INC.","CMG MORTGAGE, INC."
761,202203,0,1,81,38,300000,81,3.375,SF,1,Other sellers,Other servicers
745,202203,12,1,85,21,661000,85,2.99,SF,2,Other sellers,Other servicers
748,202203,0,1,60,42,790000,60,3.375,SF,1,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,"LAKEVIEW LOAN SERVICING, LLC"
753,202203,30,1,95,38,504000,95,3.125,SF,2,"GUARANTEED RATE, INC.","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
758,202203,30,1,95,46,442000,95,3.125,SF,2,"GUARANTEED RATE, INC.","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
706,202203,25,1,90,50,495000,90,3.375,SF,2,Other sellers,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
794,202203,30,1,95,41,426000,95,3.25,SF,1,Other sellers,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
685,202203,0,1,80,29,485000,80,3.875,SF,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC"
664,202203,0,1,80,39,600000,80,3.625,SF,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC"
691,202203,25,1,90,42,491000,90,3.875,SF,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC"
796,202203,25,1,90,46,585000,90,3.8,SF,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC"
779,202203,0,1,80,48,640000,80,3.125,SF,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
652,202203,0,1,50,42,645000,50,3.125,CO,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
744,202203,25,1,90,48,491000,90,2.99,SF,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
692,202203,30,1,95,37,385000,95,3.375,SF,2,Other sellers,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
795,202203,0,1,38,39,222000,38,2.999,SF,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC"
790,202203,0,1,36,48,300000,36,2.999,SF,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC"
758,202203,0,1,55,32,165000,55,3.125,SF,2,Other sellers,Other servicers
667,202203,0,1,68,42,425000,68,3.5,SF,2,"LOANDEPOT.COM, LLC","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
729,202203,30,1,95,50,684000,95,3.125,PU,2,Other sellers,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
713,202203,30,1,95,28,684000,95,2.99,SF,2,Other sellers,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
803,202203,0,1,75,26,326000,75,2.99,SF,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
782,202203,12,1,85,38,572000,85,3.0,SF,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
794,202203,30,1,95,36,713000,95,2.999,SF,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC"
735,202203,0,1,54,50,465000,54,2.999,SF,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC"
721,202203,12,1,85,42,544000,85,2.875,SF,1,"ROCKET MORTGAGE, LLC",ONSLOW BAY FINANCIAL LLC
727,202203,0,1,69,25,445000,69,3.0,SF,2,Other sellers,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
774,202203,0,1,80,45,488000,80,3.25,SF,2,Other sellers,"FIFTH THIRD BANK, NATIONAL ASSOCIATION"
734,202203,12,1,85,47,408000,85,3.375,SF,2,Other sellers,Other servicers
743,202203,30,1,95,36,483000,95,3.0,SF,2,NEWREZ LLC,NEW RESIDENTIAL MORTGAGE LLC
761,202203,25,1,90,40,363000,90,2.99,SF,2,HOME POINT FINANCIAL CORPORATION,Other servicers
738,202203,0,1,80,27,600000,80,3.125,SF,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
732,202203,0,1,28,49,340000,28,2.99,SF,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
771,202203,30,1,95,30,475000,95,3.25,SF,2,"ROCKET MORTGAGE, LLC","ROCKET MORTGAGE, LLC"
684,202203,25,1,90,46,602000,90,2.875,SF,3,Other sellers,NATIONSTAR MORTGAGE LLC DBA MR. COOPER
800,202203,12,1,85,33,497000,85,3.375,SF,1,Other sellers,NATIONSTAR MORTGAGE LLC DBA MR. COOPER
758,202203,0,1,75,29,487000,75,3.326,SF,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC"
795,202203,12,1,83,43,401000,83,3.25,SF,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC"
808,202203,0,1,80,46,480000,80,3.26,SF,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC"
750,202203,25,1,90,42,522000,90,3.25,SF,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC"
761,202203,25,1,89,43,460000,89,3.25,SF,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC"
782,202203,30,1,95,31,475000,95,3.375,SF,2,Other sellers,Other servicers
696,202203,0,1,80,42,336000,80,3.5,SF,1,Other sellers,Other servicers
716,202203,0,1,80,30,600000,80,3.625,SF,2,Other sellers,"LAKEVIEW LOAN SERVICING, LLC"
751,202203,30,1,95,36,470000,95,3.375,SF,1,Other sellers,Other servicers
793,202203,30,1,95,35,532000,95,3.375,SF,2,Other sellers,Other servicers
686,202203,0,1,63,32,219000,63,3.375,PU,1,"LOANDEPOT.COM, LLC","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
779,202203,12,1,83,42,311000,83,2.875,SF,1,"ROCKET MORTGAGE, LLC","ROCKET MORTGAGE, LLC"
752,202203,30,1,95,44,457000,95,3.375,SF,2,"ROCKET MORTGAGE, LLC","ROCKET MORTGAGE, LLC"
721,202203,25,1,90,43,635000,90,3.375,SF,1,"ROCKET MORTGAGE, LLC","ROCKET MORTGAGE, LLC"
686,202203,30,1,95,38,371000,95,3.75,SF,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC"
746,202203,0,1,80,39,248000,80,2.874,SF,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC"
733,202203,0,1,80,36,592000,80,2.99,SF,1,"LOANDEPOT.COM, LLC","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
672,202203,30,1,95,34,382000,95,3.625,SF,2,"LOANDEPOT.COM, LLC","LOANDEPOT.COM, LLC"
766,202203,30,1,95,43,371000,95,3.125,SF,2,"CITIZENS BANK, NA","CITIZENS BANK, NA"
769,202203,12,2,85,39,425000,85,3.25,SF,1,"CITIZENS BANK, NA","CITIZENS BANK, NA"
706,202203,25,1,90,46,401000,90,3.25,SF,2,"CITIZENS BANK, NA","CITIZENS BANK, NA"
751,202203,30,1,95,31,527000,95,3.0,SF,2,"CITIZENS BANK, NA","CITIZENS BANK, NA"
748,202203,25,1,90,25,641000,90,2.875,SF,2,"CITIZENS BANK, NA","CITIZENS BANK, NA"
788,202203,0,1,80,37,408000,80,2.75,SF,1,"CITIZENS BANK, NA","CITIZENS BANK, NA"
787,202203,12,1,85,38,465000,85,2.625,SF,2,"CITIZENS BANK, NA","CITIZENS BANK, NA"
763,202203,0,1,62,22,485000,62,2.875,SF,2,"CITIZENS BANK, NA","CITIZENS BANK, NA"
782,202203,0,1,80,49,376000,80,3.0,SF,1,"CITIZENS BANK, NA","CITIZENS BANK, NA"
763,202203,25,1,90,26,482000,90,2.875,SF,2,"CITIZENS BANK, NA","CITIZENS BANK, NA"
692,202203,0,1,51,49,600000,51,2.75,SF,2,"CITIZENS BANK, NA","CITIZENS BANK, NA"
735,202203,0,1,77,45,350000,77,3.0,SF,3,"CITIZENS BANK, NA","CITIZENS BANK, NA"
782,202203,0,1,50,35,309000,50,2.875,SF,1,"CITIZENS BANK, NA","CITIZENS BANK, NA"
804,202203,0,1,80,36,460000,80,2.875,SF,2,"CITIZENS BANK, NA","CITIZENS BANK, NA"
730,202203,25,1,90,43,567000,90,3.0,CO,2,"CITIZENS BANK, NA","CITIZENS BANK, NA"
801,202203,30,1,95,39,546000,95,2.875,SF,2,"CITIZENS BANK, NA","CITIZENS BANK, NA"
766,202203,25,1,90,46,518000,90,3.125,SF,1,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,"LAKEVIEW LOAN SERVICING, LLC"
709,202203,30,1,95,20,326000,95,3.0,SF,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
776,202203,25,1,90,27,647000,90,2.875,SF,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
706,202203,0,1,80,31,232000,80,2.875,CO,1,NEWREZ LLC,NEW RESIDENTIAL MORTGAGE LLC
758,202203,30,1,95,34,509000,95,3.125,SF,2,NEWREZ LLC,NEW RESIDENTIAL MORTGAGE LLC
751,202203,30,1,92,31,422000,92,3.0,SF,2,NEWREZ LLC,NEW RESIDENTIAL MORTGAGE LLC
797,202203,0,1,80,28,400000,80,3.0,SF,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
753,202203,25,1,89,33,605000,89,2.875,SF,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
702,202203,0,1,80,45,440000,80,2.875,SF,2,Other sellers,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
796,202203,25,1,90,40,521000,90,2.99,SF,1,"ROCKET MORTGAGE, LLC","ROCKET MORTGAGE, LLC"
720,202203,25,1,90,46,495000,90,3.5,SF,3,HOME POINT FINANCIAL CORPORATION,Other servicers
775,202203,0,1,80,14,680000,80,3.25,SF,2,HOME POINT FINANCIAL CORPORATION,Other servicers
777,202203,0,1,80,35,624000,80,3.5,SF,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
797,202203,0,1,80,23,444000,80,3.0,SF,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
766,202203,25,1,90,30,483000,90,2.875,SF,2,NEWREZ LLC,NEW RESIDENTIAL MORTGAGE LLC
808,202203,12,1,83,36,464000,83,2.875,SF,1,HOME POINT FINANCIAL CORPORATION,Other servicers
761,202203,0,1,80,49,474000,80,2.99,SF,2,HOME POINT FINANCIAL CORPORATION,Other servicers
743,202203,0,1,80,46,446000,80,3.1,SF,2,"CALIBER HOME LOANS, INC.","CALIBER HOME LOANS, INC."
758,202203,30,1,95,34,474000,95,3.125,SF,2,"CALIBER HOME LOANS, INC.","CALIBER HOME LOANS, INC."
781,202203,0,1,37,31,160000,37,2.875,CO,1,"CALIBER HOME LOANS, INC.","CALIBER HOME LOANS, INC."
796,202203,30,1,93,38,580000,93,2.875,SF,2,"CALIBER HOME LOANS, INC.","CALIBER HOME LOANS, INC."
722,202203,0,1,80,40,532000,80,3.05,CO,1,"CALIBER HOME LOANS, INC.","CALIBER HOME LOANS, INC."
802,202203,25,1,90,34,524000,90,3.125,SF,1,Other sellers,Other servicers
715,202203,25,1,90,23,113000,90,3.375,CP,1,Other sellers,Other servicers
690,202203,0,1,80,50,452000,80,2.999,SF,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC"
749,202203,25,1,89,32,520000,89,2.999,SF,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC"
713,202203,0,1,80,45,576000,80,3.25,SF,2,"WELLS FARGO BANK, N.A.","WELLS FARGO BANK, N.A."
707,202203,30,1,92,36,575000,92,3.25,SF,2,"WELLS FARGO BANK, N.A.","WELLS FARGO BANK, N.A."
670,202203,0,1,90,45,225000,90,3.625,SF,2,"WELLS FARGO BANK, N.A.","WELLS FARGO BANK, N.A."
697,202203,0,1,80,23,580000,80,3.25,SF,2,"WELLS FARGO BANK, N.A.","WELLS FARGO BANK, N.A."
780,202203,30,1,95,35,480000,95,3.25,SF,2,"WELLS FARGO BANK, N.A.","WELLS FARGO BANK, N.A."
789,202203,0,1,77,50,480000,77,3.25,SF,2,"WELLS FARGO BANK, N.A.","WELLS FARGO BANK, N.A."
732,202203,25,1,95,46,314000,95,3.5,SF,1,"WELLS FARGO BANK, N.A.","WELLS FARGO BANK, N.A."
762,202203,25,1,95,50,437000,95,3.375,SF,1,"WELLS FARGO BANK, N.A.","WELLS FARGO BANK, N.A."
746,202203,0,1,80,44,496000,80,3.25,SF,3,"WELLS FARGO BANK, N.A.","WELLS FARGO BANK, N.A."
