credit_score,first_payment_date,mortgage_insurance_percentage,number_of_units,original_combined_loan_to_value,original_debt_to_income_ratio,original_upb,original_loan_to_value,original_interest_rate,property_type,number_of_borrowers,seller_name,servicer_name
751,202208,25,1,90,35,383000,90,5.625,SF,2,"WELLS FARGO BANK, N.A.",NATIONSTAR MORTGAGE LLC DBA MR. COOPER
763,202208,12,1,85,36,476000,85,5.25,SF,2,"WELLS FARGO BANK, N.A.",NATIONSTAR MORTGAGE LLC DBA MR. COOPER
729,202208,0,1,80,41,456000,80,5.625,SF,2,"WELLS FARGO BANK, N.A.",NATIONSTAR MORTGAGE LLC DBA MR. COOPER
720,202208,30,1,95,29,442000,95,5.375,SF,2,"WELLS FARGO BANK, N.A.",NATIONSTAR MORTGAGE LLC DBA MR. COOPER
731,202207,35,1,97,44,403000,97,5.375,SF,2,"WELLS FARGO BANK, N.A.",NATIONSTAR MORTGAGE LLC DBA MR. COOPER
809,202208,0,1,95,50,342000,95,5.125,SF,1,"WELLS FARGO BANK, N.A.",NATIONSTAR MORTGAGE LLC DBA MR. COOPER
791,202208,0,1,71,26,314000,71,5.25,SF,2,"WELLS FARGO BANK, N.A.",NATIONSTAR MORTGAGE LLC DBA MR. COOPER
798,202208,0,1,80,38,560000,80,5.125,SF,1,"WELLS FARGO BANK, N.A.",NATIONSTAR MORTGAGE LLC DBA MR. COOPER
811,202208,12,1,82,45,488000,82,5.125,SF,1,"WELLS FARGO BANK, N.A.",NATIONSTAR MORTGAGE LLC DBA MR. COOPER
786,202208,25,1,90,45,193000,90,5.25,CP,1,"WELLS FARGO BANK, N.A.","WELLS FARGO BANK, N.A."
763,202208,12,1,85,29,296000,85,5.375,CP,1,"WELLS FARGO BANK, N.A.","WELLS FARGO BANK, N.A."
747,202208,30,1,95,46,499000,95,5.5,SF,1,"WELLS FARGO BANK, N.A.",NATIONSTAR MORTGAGE LLC DBA MR. COOPER
802,202208,0,1,66,44,449000,66,5.25,SF,2,"WELLS FARGO BANK, N.A.",NATIONSTAR MORTGAGE LLC DBA MR. COOPER
759,202208,30,1,95,35,613000,95,5.625,SF,2,"WELLS FARGO BANK, N.A.",NATIONSTAR MORTGAGE LLC DBA MR. COOPER
768,202208,25,1,90,42,594000,90,5.375,SF,2,"WELLS FARGO BANK, N.A.",NATIONSTAR MORTGAGE LLC DBA MR. COOPER
772,202208,25,1,90,34,522000,90,5.375,SF,2,"WELLS FARGO BANK, N.A.",NATIONSTAR MORTGAGE LLC DBA MR. COOPER
722,202208,0,1,72,26,300000,72,5.375,PU,1,"WELLS FARGO BANK, N.A.",NATIONSTAR MORTGAGE LLC DBA MR. COOPER
774,202208,0,1,64,43,343000,64,5.25,SF,1,"WELLS FARGO BANK, N.A.",NATIONSTAR MORTGAGE LLC DBA MR. COOPER
811,202208,0,1,80,36,340000,80,5.25,CO,1,"WELLS FARGO BANK, N.A.",NATIONSTAR MORTGAGE LLC DBA MR. COOPER
769,202208,0,1,75,46,520000,75,5.375,SF,2,"WELLS FARGO BANK, N.A.",NATIONSTAR MORTGAGE LLC DBA MR. COOPER
800,202208,0,1,67,37,315000,67,5.25,SF,2,"WELLS FARGO BANK, N.A.",NATIONSTAR MORTGAGE LLC DBA MR. COOPER
680,202208,0,1,80,45,544000,80,4.875,SF,2,"WELLS FARGO BANK, N.A.",NATIONSTAR MORTGAGE LLC DBA MR. COOPER
663,202208,0,1,29,40,325000,29,4.75,SF,1,"WELLS FARGO BANK, N.A.",NATIONSTAR MORTGAGE LLC DBA MR. COOPER
728,202208,30,1,95,41,385000,95,4.75,SF,1,"WELLS FARGO BANK, N.A.",NATIONSTAR MORTGAGE LLC DBA MR. COOPER
712,202208,0,1,80,40,516000,80,5.75,SF,1,"WELLS FARGO BANK, N.A.",NATIONSTAR MORTGAGE LLC DBA MR. COOPER
704,202208,12,1,85,39,560000,85,5.75,SF,2,"WELLS FARGO BANK, N.A.",NATIONSTAR MORTGAGE LLC DBA MR. COOPER
673,202208,0,1,80,40,424000,80,5.875,SF,1,"WELLS FARGO BANK, N.A.",NATIONSTAR MORTGAGE LLC DBA MR. COOPER
718,202208,35,1,97,48,315000,97,5.875,SF,2,"WELLS FARGO BANK, N.A.",NATIONSTAR MORTGAGE LLC DBA MR. COOPER
775,202208,12,1,85,32,637000,85,5.99,SF,2,"WELLS FARGO BANK, N.A.","WELLS FARGO BANK, N.A."
751,202207,25,1,86,41,396000,86,3.99,SF,2,"WELLS FARGO BANK, N.A.",NATIONSTAR MORTGAGE LLC DBA MR. COOPER
755,202208,25,1,90,32,716000,90,5.5,SF,2,U.S. BANK N.A.,U.S. BANK N.A.
691,202207,0,1,75,49,277000,75,5.625,CP,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
674,202208,25,1,90,41,610000,90,4.5,SF,2,"WELLS FARGO BANK, N.A.","WELLS FARGO BANK, N.A."
784,202207,0,1,78,30,600000,78,4.25,SF,2,"WELLS FARGO BANK, N.A.",NATIONSTAR MORTGAGE LLC DBA MR. COOPER
746,202208,0,2,80,34,550000,80,4.25,SF,2,"WELLS FARGO BANK, N.A.",NATIONSTAR MORTGAGE LLC DBA MR. COOPER
752,202208,0,1,74,29,550000,74,4.25,SF,2,"WELLS FARGO BANK, N.A.","WELLS FARGO BANK, N.A."
728,202208,25,1,90,36,630000,90,4.375,SF,2,"WELLS FARGO BANK, N.A.",NATIONSTAR MORTGAGE LLC DBA MR. COOPER
756,202208,0,1,80,40,560000,80,4.49,SF,2,"WELLS FARGO BANK, N.A.",NATIONSTAR MORTGAGE LLC DBA MR. COOPER
754,202208,25,1,90,30,540000,90,5.25,SF,2,"FLAGSTAR BANK, FSB","FLAGSTAR BANK, NATIONAL ASSOCIATION"
728,202206,0,1,80,35,164000,80,3.125,CP,1,Other sellers,Other servicers
801,202207,12,1,85,39,570000,85,3.875,SF,1,Other sellers,Other servicers
754,202207,0,1,78,42,467000,78,4.75,SF,1,Other sellers,Other servicers
802,202207,0,1,70,29,575000,70,4.25,PU,1,Other sellers,Other servicers
668,202207,0,1,70,32,350000,70,4.25,SF,2,Other sellers,Other servicers
745,202208,30,1,92,26,442000,92,4.75,SF,2,Other sellers,Other servicers
802,202208,16,1,91,39,271000,91,3.875,CO,1,Other sellers,Other servicers
783,202207,0,1,80,32,140000,80,3.125,CP,1,Other sellers,Other servicers
787,202208,30,1,95,28,316000,95,4.99,PU,2,"ROCKET MORTGAGE, LLC","ROCKET MORTGAGE, LLC"
782,202208,35,1,97,43,437000,97,5.625,SF,1,Other sellers,Other servicers
713,202207,0,1,31,38,160000,31,4.875,SF,1,Other sellers,Other servicers
793,202207,0,1,75,49,225000,75,4.75,SF,1,Other sellers,Other servicers
729,202208,25,1,90,44,509000,90,5.125,SF,2,PENNYMAC CORP.,PENNYMAC CORP.
757,202206,30,1,95,36,466000,95,4.125,SF,2,Other sellers,Other servicers
738,202207,25,1,95,48,203000,95,4.625,CO,1,Other sellers,Other servicers
736,202207,25,1,90,45,494000,90,4.5,SF,1,Other sellers,Other servicers
727,202208,30,1,95,39,475000,95,5.0,SF,2,Other sellers,Other servicers
705,202207,25,1,90,45,423000,90,4.875,SF,1,Other sellers,Other servicers
780,202207,12,1,84,41,490000,84,4.875,SF,2,Other sellers,Other servicers
810,202208,0,1,68,50,305000,68,5.0,SF,1,Other sellers,Other servicers
768,202207,0,1,81,46,400000,81,5.125,SF,1,Other sellers,Other servicers
785,202207,30,1,95,43,537000,95,5.15,SF,2,Other sellers,Other servicers
732,202208,0,1,80,40,472000,80,5.125,SF,2,Other sellers,Other servicers
727,202208,30,1,94,46,483000,94,5.125,SF,2,Other sellers,Other servicers
747,202208,12,1,83,43,496000,83,5.5,SF,1,Other sellers,Other servicers
738,202208,25,1,97,44,340000,97,5.375,SF,2,Other sellers,Other servicers
